* Measurement data measured by REW V5.31.3
* Source: Aqua JM-1 Filtered
* Format: 
* Dated: Jun 6, 2025 11:30:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,186 Hz log spaced  LS Q     Fc   100.0 Hz  Gain   3.00 dB Q  0.707
* Measurement: Rollo Neutral Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
7750.000000, 2.759
7880.000000, 2.785
8000.000000, 2.752
8120.000000, 2.664
8250.000000, 2.513
8380.000000, 2.312
8500.000000, 2.090
8620.000000, 1.843
8750.000000, 1.556
8850.000000, 1.327
9000.000000, 0.975
9120.000000, 0.692
9250.000000, 0.382
9380.000000, 0.068
9500.000000, -0.233
9620.000000, -0.550
9750.000000, -0.923
9880.000000, -1.338
10000.000000, -1.768
10150.000000, -2.375
10300.000000, -3.063
10440.000000, -3.766
10600.000000, -4.617
10750.000000, -5.421
10900.000000, -6.187
11060.000000, -6.915
11200.000000, -7.442
11380.000000, -7.936
11500.000000, -8.139
11720.000000, -8.244
11800.000000, -8.197
12060.000000, -7.757
12200.000000, -7.355
12410.000000, -6.580
12500.000000, -6.201
12650.000000, -5.533
12800.000000, -4.850
13150.000000, -3.382
13200.000000, -3.202
13400.000000, -2.580
13600.000000, -2.129
13800.000000, -1.847
14000.000000, -1.713
14300.000000, -1.713
14500.000000, -1.795
14750.000000, -1.927
15000.000000, -2.045
15250.000000, -2.118
15500.000000, -2.150
15750.000000, -2.174
16000.000000, -2.247
16250.000000, -2.429
16500.000000, -2.766
16750.000000, -3.281
17000.000000, -3.968
17250.000000, -4.799
17500.000000, -5.725
17750.000000, -6.692
18000.000000, -7.645
18250.000000, -8.544
18500.000000, -9.360
18750.000000, -10.084
19000.000000, -10.708
19250.000000, -11.227
19500.000000, -11.644
19750.000000, -11.974
20000.000000, -12.228
