* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
16254.986772	3.150457
16491.420999	3.037362
16731.294241	2.745464
16974.656520	2.261754
17221.558584	1.682698
17472.051922	1.019317
17726.188769	0.314035
17984.022122	-0.349206
18245.605748	-0.962402
18510.994194	-1.438114
18780.242805	-1.860015
19053.407727	-2.139228
19330.545924	-2.291621
19611.715189	-2.401783
19896.974155	-2.510460
20186.382308	-2.510460
